,Package,Version
1,abind,1.4-5
2,acepack,1.4.1
3,arm,1.10-1
4,assertthat,0.2.0
5,backports,1.1.2
6,base64enc,0.1-3
7,BDgraph,2.5
8,BH,1.66.0-1
9,bindr,0.1.1
10,bindrcpp,0.2.2
11,bitops,1.0-6
12,blogdown,0.6
13,bookdown,0.7
14,broom,0.4.4
15,callr,2.0.4
16,car,3.0-0
17,carData,3.0-1
18,caret,6.0-80
19,caTools,1.17.1
20,cellranger,1.1.0
21,checkmate,1.8.5
22,cli,1.0.0
23,coda,0.19-1
24,colorspace,1.3-2
25,corpcor,1.6.9
26,crayon,1.3.4
27,crosstalk,1.0.0
28,CVST,0.2-2
29,d3Network,0.5.2.1
30,data.table,1.11.4
31,DBI,1.0.0
32,dbplyr,1.2.1
33,ddalpha,1.3.3
34,DEoptimR,1.0-8
35,devtools,1.13.5
36,dichromat,2.0-0
37,digest,0.6.15
38,dimRed,0.1.0
39,dplyr,0.7.5
40,DRR,0.0.3
41,dtplyr,0.0.2
42,dygraphs,1.1.1.4
43,dynlm,0.3-5
44,ellipse,0.4.1
45,evaluate,0.10.1
46,fdrtool,1.2.15
47,forcats,0.3.0
48,forecast,8.3
49,formattable,0.2.0.1
50,Formula,1.2-3
51,fracdiff,1.4-2
52,gapminder,0.3.0
53,gdata,2.18.0
54,geometry,0.3-6
55,getPass,0.2-2
56,ggm,2.3
57,ggplot2,2.2.1
58,ggthemes,3.5.0
59,git2r,0.21.0
60,glasso,1.8
61,glue,1.2.0
62,gmailr,0.7.1
63,gower,0.1.2
64,gplots,3.0.1
65,gridExtra,2.3
66,gtable,0.2.0
67,gtools,3.5.0
68,haven,1.1.1
69,hexbin,1.27.2
70,highr,0.6
71,Hmisc,4.1-1
72,hms,0.4.2
73,htmlTable,1.12
74,htmltools,0.3.6
75,htmlwidgets,1.2
76,httpuv,1.4.3
77,httr,1.3.1
78,huge,1.2.7
79,igraph,1.2.1
80,installr,0.20.0
81,ipred,0.9-6
82,jpeg,0.1-8
83,kableExtra,0.9.0
84,kernlab,0.9-26
85,knitr,1.2
86,labeling,0.3
87,later,0.7.2
88,latticeExtra,0.6-28
89,lava,1.6.1
90,lavaan,0.6-1
91,lazyeval,0.2.1
92,lme4,1.1-17
93,lmtest,0.9-36
94,lubridate,1.7.4
95,magic,1.5-8
96,magrittr,1.5
97,manipulateWidget,0.9.0
98,maps,3.3.0
99,maptools,0.9-2
100,markdown,0.8
102,matrixcalc,1.0-3
103,MatrixModels,0.4-1
104,memoise,1.1.0
105,mi,1
106,mime,0.5
107,miniUI,0.1.1.1
108,minqa,1.2.4
109,mnormt,1.5-5
110,ModelMetrics,1.1.0
111,modelr,0.1.2
112,munsell,0.4.3
113,network,1.13.0.1
114,nloptr,1.0.4
115,numDeriv,2016.8-1
116,nycflights13,0.2.2
117,openssl,1.0.1
118,openxlsx,4.1.0
119,padr,0.4.0
120,pbapply,1.3-4
121,pbivnorm,0.6.0
122,pbkrtest,0.4-7
123,PerformanceAnalytics,1.5.2
124,pillar,1.2.3
125,pimDB,0.1.2
126,pimGraph,0.1.1
127,pimUtil,0.1.0
128,pkgconfig,2.0.1
129,plogr,0.2.0
130,plotly,4.7.1
131,plyr,1.8.4
132,PortfolioAnalytics,1.1.0
133,praise,1.0.0
134,processx,3.1.0
135,prodlim,2018.04.18
136,promises,1.0.1
137,psych,1.8.4
138,purrr,0.2.4
139,qgraph,1.5
140,quadprog,1.5-5
141,Quandl,2.8.0
142,quantmod,0.4-13
143,quantreg,5.36
144,randomForest,4.6-14
145,Rblpapi,0.3.8
146,RColorBrewer,1.1-2
147,Rcpp,0.12.17
148,RcppArmadillo,0.8.500.0
149,RcppEigen,0.3.3.4.0
150,RcppRoll,0.2.2
151,readr,1.1.1
152,readxl,1.1.0
153,recipes,0.1.2
154,rematch,1.0.1
155,reprex,0.1.2
156,reshape2,1.4.3
157,rgl,0.99.16
158,rio,0.5.10
159,rjson,0.2.19
160,rlang,0.2.1
161,rmarkdown,1.9
162,rmsfuns,0.0.0.2
163,RMySQL,0.10.15
164,robustbase,0.93-0
165,rpart.plot,2.2.0
166,rprojroot,1.3-2
167,rstudioapi,0.7
168,RUnit,0.4.32
169,rvest,0.3.2
170,scales,0.5.0
171,selectr,0.4-1
172,sem,3.1-9
173,servr,0.1
174,sfsmisc,1.1-2
175,shiny,1.1.0
176,slackr,1.4.2
177,sna,2.4
178,sourcetools,0.1.7
179,sp,1.2-7
180,SparseM,1.77
181,SQUAREM,2017.10-1
182,statnet.common,4.0.0
183,stringi,1.2.2
184,stringr,1.3.1
186,testthat,2.0.0
187,tibble,1.4.2
188,tidyquant,0.5.5
189,tidyr,0.8.1
190,tidyselect,0.2.4
191,tidyverse,1.2.1
192,timeDate,3043.102
193,timetk,0.1.1
194,tinytex,0.5
195,tree,1.0-39
196,tseries,0.10-44
197,TTR,0.23-3
198,tubeplayR,0.1.2
199,urca,1.3-0
200,uroot,2.0-9
201,utf8,1.1.4
202,viridis,0.5.1
203,viridisLite,0.3.0
204,whisker,0.3-2
205,withr,2.1.2
206,xfun,0.1
207,xml2,1.2.0
208,xtable,1.8-2
209,xts,0.10-2
210,yaml,2.1.19
211,zip,1.0.0
212,zoo,1.8-1
215,checkpoint,0.4.4
220,curl,3.2
222,deployrRserve,9.0.0
223,doParallel,1.0.13
224,foreach,1.5.0
229,iterators,1.0.10
230,jsonlite,1.5
237,MicrosoftR,3.5.0.108
241,png,0.1-7
242,R6,2.2.2
243,RevoIOQ,10.0.0
244,RevoMods,11.0.0
245,RevoUtils,11.0.0
246,RevoUtilsMath,11.0.0
247,RODBC,1.3-15
249,RUnit,0.4.26
257,translations,3.5.0
